0,0,1,2,3,4
5,5,"(('a', 'b'), ('b', ('b', ('a', 'b'))))",softsign,mul,83.73397435897436
0,0,"('a', 'b')",sigmoid,sub,9.765625
1,1,"('a', ('a', 'b'))",sigmoid,add,9.765625
2,2,"(('a', 'b'), ('a', ('a', 'b')))",elu,div,9.765625
3,3,"('b', ('a', ('a', 'b')))",softsign,add,9.765625
4,4,"(('a', 'b'), (('a', 'b'), ('a', ('a', 'b'))))",sigmoid,add,9.765625
5,5,"('b', (('a', 'b'), ('a', ('a', 'b'))))",sigmoid,div,9.765625
0,0,"('a', 'b')",softsign,mul,9.815705128205128
1,1,"('a', ('a', 'b'))",elu,div,9.815705128205128
2,2,"('b', ('a', 'b'))",sigmoid,div,9.815705128205128
3,3,"('a', ('a', ('a', 'b')))",sigmoid,mul,9.815705128205128
4,4,"(('b', ('a', 'b')), ('a', ('a', ('a', 'b'))))",softsign,add,9.815705128205128
5,5,"(('b', ('a', 'b')), (('b', ('a', 'b')), ('a', ('a', ('a', 'b')))))",elu,div,9.815705128205128
0,0,"('a', 'b')",elu,sub,89.74358974358974
1,1,"('b', ('a', 'b'))",softsign,sub,89.74358974358974
2,2,"(('a', 'b'), ('b', ('a', 'b')))",sigmoid,add,89.74358974358974
3,3,"('a', ('a', 'b'))",sigmoid,sub,89.74358974358974
4,4,"('b', (('a', 'b'), ('b', ('a', 'b'))))",elu,sub,89.74358974358974
5,5,"(('b', ('a', 'b')), (('a', 'b'), ('b', ('a', 'b'))))",sigmoid,sub,89.74358974358974
0,0,"('a', 'b')",sigmoid,sub,9.785657051282051
1,1,"('b', ('a', 'b'))",sigmoid,add,9.785657051282051
2,2,"('b', ('b', ('a', 'b')))",sigmoid,mul,9.785657051282051
3,3,"(('b', ('a', 'b')), ('b', ('b', ('a', 'b'))))",softsign,div,9.785657051282051
4,4,"('b', (('b', ('a', 'b')), ('b', ('b', ('a', 'b')))))",elu,add,9.785657051282051
5,5,"('a', ('b', ('a', 'b')))",sigmoid,div,9.785657051282051
0,0,"('a', 'b')",sigmoid,add,9.785657051282051
1,1,"('b', ('a', 'b'))",elu,mul,9.785657051282051
2,2,"('a', ('b', ('a', 'b')))",softsign,sub,9.785657051282051
3,3,"('a', ('a', ('b', ('a', 'b'))))",elu,mul,9.785657051282051
4,4,"(('b', ('a', 'b')), ('a', ('a', ('b', ('a', 'b')))))",sigmoid,add,9.785657051282051
5,5,"('a', ('a', ('a', ('b', ('a', 'b')))))",softsign,div,9.785657051282051
0,0,"('a', 'b')",elu,mul,9.815705128205128
1,1,"('b', ('a', 'b'))",sigmoid,div,9.815705128205128
2,2,"(('a', 'b'), ('b', ('a', 'b')))",softsign,sub,9.815705128205128
3,3,"(('b', ('a', 'b')), (('a', 'b'), ('b', ('a', 'b'))))",elu,add,9.815705128205128
4,4,"('a', (('b', ('a', 'b')), (('a', 'b'), ('b', ('a', 'b')))))",sigmoid,sub,9.815705128205128
5,5,"((('a', 'b'), ('b', ('a', 'b'))), ('a', (('b', ('a', 'b')), (('a', 'b'), ('b', ('a', 'b'))))))",softsign,add,9.815705128205128
0,0,"('a', 'b')",softsign,sub,9.795673076923077
1,1,"('b', ('a', 'b'))",elu,add,9.795673076923077
2,2,"(('a', 'b'), ('b', ('a', 'b')))",softsign,div,9.795673076923077
3,3,"('b', (('a', 'b'), ('b', ('a', 'b'))))",sigmoid,add,9.795673076923077
4,4,"('b', ('b', ('a', 'b')))",elu,mul,9.795673076923077
